LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
5,2024-04-21 16:32:01.000,0,1004.53,33.8,52.77,27306.25,234.75
5,2024-04-21 16:32:57.000,1.74,1004.5,34.08,51.42,40567.5,332.46
5,2024-04-21 16:33:57.000,0.96,1004.54,34.22,51.05,27715,94.14
5,2024-04-21 16:34:57.000,2.18,1004.49,34.04,51.1,29259.17,111.05
5,2024-04-21 16:35:57.000,1.48,1004.53,34.2,51.05,34108.33,196.04
5,2024-04-21 16:36:57.000,1.22,1004.56,34.16,51.18,29056.67,109.03
5,2024-04-21 16:37:57.000,0.44,1004.58,34.44,50.93,30313.33,130.51
5,2024-04-21 16:38:57.000,1.39,1004.59,34.25,50.73,27542.5,93.6
5,2024-04-21 16:39:57.000,0.87,1004.59,34.25,50.51,27829.17,98.55
5,2024-04-21 16:40:57.000,0.44,1004.58,34.27,50.4,26881.67,89.58
5,2024-04-21 16:41:57.000,1.57,1004.6,34.11,50.89,25713.33,79.78
5,2024-04-21 16:42:57.000,1.92,1004.61,34.02,51.18,24464.17,70.61
5,2024-04-21 16:43:57.000,1.05,1004.59,34.05,51.33,24704.17,75.59
5,2024-04-21 16:44:57.000,0.7,1004.64,34.15,51.1,29830.83,160.95
5,2024-04-21 16:45:57.000,1.39,1004.66,34.31,50.8,29783.33,158.65
5,2024-04-21 16:46:57.000,1.05,1004.66,34.38,50.35,25425,87.35
5,2024-04-21 16:47:57.000,1.92,1004.67,34.28,50.73,24457.5,79.12
5,2024-04-21 16:48:57.000,1.05,1004.61,34.38,50.49,23646.67,77.18
5,2024-04-21 16:49:57.000,0.78,1004.64,34.31,50.59,21403.33,55.14
5,2024-04-21 16:50:57.000,0.96,1004.61,34.15,51.05,20714.17,50.16
5,2024-04-21 16:51:57.000,0.44,1004.68,34.09,51.34,20449.17,49.5
5,2024-04-21 16:52:57.000,1.92,1004.68,33.88,51.77,20369.17,48.83
5,2024-04-21 16:53:57.000,0.35,1004.69,33.83,52.11,19864.17,45.94
5,2024-04-21 16:54:57.000,0.17,1004.7,33.81,52.1,19184.17,42.77
5,2024-04-21 16:55:57.000,0,1004.74,33.79,52.28,18430.83,39.09
5,2024-04-21 16:56:57.000,0,1004.71,33.8,52.35,17832.5,38
5,2024-04-21 16:57:57.000,1.05,1004.72,33.76,52.37,17943.33,41.47
5,2024-04-21 16:58:57.000,1.39,1004.68,33.69,52.52,16979.17,34.65
5,2024-04-21 16:59:57.000,0.96,1004.73,33.61,52.5,16440.83,31.97
5,2024-04-21 17:00:57.000,0.87,1004.72,33.43,52.69,15771.67,29.58
5,2024-04-21 17:01:57.000,1.48,1004.71,33.28,53.31,14869.17,26.55
5,2024-04-21 17:02:57.000,0.44,1004.69,33.16,53.71,13675,22.32
5,2024-04-21 17:03:57.000,0.52,1004.75,33.05,53.77,12667.5,19.16
5,2024-04-21 17:04:57.000,1.74,1004.71,32.82,54.09,11845,16.42
5,2024-04-21 17:05:57.000,2.7,1004.7,32.54,55.09,11217.5,14.62
5,2024-04-21 17:06:57.000,0.78,1004.71,32.32,55.54,10297.5,12.21
5,2024-04-21 17:07:57.000,0.7,1004.74,32.18,56.03,9350.83,10
5,2024-04-21 17:08:57.000,0,1004.73,32.07,56.36,8614.17,8.62
5,2024-04-21 17:09:57.000,0.17,1004.75,31.98,56.69,8130,8.05
5,2024-04-21 17:10:57.000,0.26,1004.78,31.85,57.03,7423.33,6.48
5,2024-04-21 17:11:57.000,1.13,1004.75,31.66,57.73,6850.83,5.37
5,2024-04-21 17:12:57.000,0.78,1004.79,31.55,58.17,6485,4.75
5,2024-04-21 17:13:57.000,0.17,1004.73,31.47,58.43,6102.5,4.26
5,2024-04-21 17:14:57.000,0.61,1004.73,31.42,58.68,5730,3.9
5,2024-04-21 17:15:57.000,0.44,1004.72,31.37,58.86,5370,3.46
5,2024-04-21 17:16:57.000,0.52,1004.69,31.29,59.08,5134.17,3.2
5,2024-04-21 17:17:57.000,1.22,1004.77,31.17,59.56,4942.5,3.13
5,2024-04-21 17:18:57.000,1.05,1004.72,30.98,60.15,4772.5,2.85
5,2024-04-21 17:19:57.000,0.61,1004.83,30.92,60.19,4661.67,2.77
5,2024-04-21 17:20:57.000,0.17,1004.84,30.88,60.3,4600,2.71
5,2024-04-21 17:21:57.000,0,1004.86,30.84,60.7,4553.33,2.69
5,2024-04-21 17:22:57.000,0,1004.9,30.78,60.99,4545.83,2.75
5,2024-04-21 17:23:57.000,0.17,1004.88,30.71,61.23,4500.83,2.77
5,2024-04-21 17:24:57.000,0.44,1004.93,30.65,61.43,4453.33,2.72
5,2024-04-21 17:25:57.000,0.7,1004.92,30.58,61.57,4399.17,2.71
5,2024-04-21 17:26:57.000,0.87,1005.02,30.54,61.64,4348.33,2.72
5,2024-04-21 17:27:57.000,0.52,1005.04,30.46,62.23,4338.33,2.72
5,2024-04-21 17:28:57.000,0.26,1005.04,30.41,62.29,4282.5,2.71
5,2024-04-21 17:29:57.000,0,1005.06,30.38,62.27,4177.5,2.64
