LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2,2024-09-23 14:23:10.000,0,1005.9,34.58,66.43,9669.58,29.55
2,2024-09-23 14:24:07.000,0,1005.96,34.58,65.76,9261.67,27.24
2,2024-09-23 14:25:07.000,0,1005.94,34.44,66.78,8809.17,25.15
2,2024-09-23 14:26:07.000,0,1005.96,34.3,67.7,8362.5,22.52
2,2024-09-23 14:27:07.000,0,1005.93,34.1,68.96,7936.67,20.52
2,2024-09-23 14:28:07.000,0,1005.94,33.99,69.06,7544.17,18.57
2,2024-09-23 14:29:07.000,0,1005.92,33.84,69.93,7235,17.14
2,2024-09-23 14:30:07.000,0,1005.96,33.77,69.99,7038.33,15.84
2,2024-09-23 14:31:07.000,0,1005.93,33.72,70.83,6943.33,15.57
2,2024-09-23 14:32:07.000,0,1005.99,33.68,71.57,6918.33,15.44
2,2024-09-23 14:33:07.000,0,1005.95,33.66,71.83,6947.5,15.49
2,2024-09-23 14:34:07.000,0,1005.97,33.67,71.87,7065,16.2
2,2024-09-23 14:35:07.000,0,1005.94,33.54,71.37,7290,17.19
2,2024-09-23 14:36:07.000,0,1005.96,33.47,71.98,7610,18.83
2,2024-09-23 14:37:07.000,0,1005.97,33.45,72.26,7949.17,20.52
2,2024-09-23 14:38:07.000,0,1005.97,33.45,72.9,8239.17,22.18
2,2024-09-23 14:39:07.000,0,1005.99,33.42,73.05,8367.5,23.13
2,2024-09-23 14:40:07.000,0,1005.98,33.44,73.15,8366.67,22.66
2,2024-09-23 14:41:07.000,0,1006.03,33.47,73.04,8465.83,23.23
2,2024-09-23 14:42:07.000,0,1005.99,33.41,73.49,8834.17,24.56
2,2024-09-23 14:43:07.000,0,1006,33.4,74.28,9412.5,28.25
2,2024-09-23 14:44:07.000,0,1006,33.42,74.38,9998.33,31.58
2,2024-09-23 14:45:07.000,0,1005.95,33.42,74.55,10603.33,35.28
2,2024-09-23 14:46:07.000,0,1005.98,33.53,74.69,11159.17,39.63
2,2024-09-23 14:47:07.000,0,1005.97,33.58,74.5,11372.5,41.47
2,2024-09-23 14:48:07.000,0,1005.96,33.67,74.23,11142.5,40.06
2,2024-09-23 14:49:07.000,0,1005.92,33.53,73.68,10687.5,37.4
2,2024-09-23 14:50:07.000,0,1005.92,33.4,73.71,10151.67,33.82
2,2024-09-23 14:51:07.000,0,1005.95,33.45,74.31,9575.83,30.24
2,2024-09-23 14:52:07.000,0,1005.91,33.29,74.58,9019.17,26.52
2,2024-09-23 14:53:07.000,0,1005.92,33.24,75.43,8581.67,24.3
2,2024-09-23 14:54:07.000,0,1005.93,33.25,74.62,8291.67,22.71
2,2024-09-23 14:55:07.000,0,1005.93,33.19,75.57,8133.33,22.33
2,2024-09-23 14:56:07.000,0,1005.93,33.01,77.29,8020.83,21.49
2,2024-09-23 14:57:07.000,0,1005.89,32.72,77.69,7805,20.52
2,2024-09-23 14:58:07.000,0,1005.91,32.67,79.28,7441.67,18.48
2,2024-09-23 14:59:07.000,0,1005.92,32.78,79.42,7150,16.45
2,2024-09-23 15:00:07.000,0,1005.95,32.69,79.2,6858.33,14.82
2,2024-09-23 15:01:07.000,0,1005.98,32.75,79.21,6610.83,13.91
2,2024-09-23 15:02:07.000,0,1005.98,32.82,78.6,6550,13.39
2,2024-09-23 15:03:07.000,0,1006.02,32.85,78.51,6712.5,14.14
2,2024-09-23 15:04:07.000,0,1006,32.85,78.93,7060.83,15.68
2,2024-09-23 15:05:07.000,0,1006.02,32.67,79.86,7470,17.68
2,2024-09-23 15:06:07.000,0,1005.98,32.75,79.73,7857.5,19.01
2,2024-09-23 15:07:07.000,0,1006.03,32.85,79.76,7933.33,4.65
2,2024-09-23 15:08:07.000,0,1005.98,32.98,79.35,7745,18.66
2,2024-09-23 15:09:07.000,0,1006.02,32.95,78.52,7301.67,16.4
2,2024-09-23 15:10:07.000,0,1006.08,32.95,78.9,6908.33,14.74
2,2024-09-23 15:11:07.000,0,1006.07,33,79,6480,13.1
2,2024-09-23 15:12:07.000,0,1006.04,33.04,78.79,6167.5,11.76
2,2024-09-23 15:13:07.000,0,1006.04,33.05,78.58,6078.33,11.19
2,2024-09-23 15:14:07.000,0,1006.04,33.06,78.84,6000.83,11.02
2,2024-09-23 15:15:07.000,0,1006.07,32.9,79.27,6119.17,11.19
2,2024-09-23 15:16:07.000,0,1006.05,32.87,79.8,6455,12.38
2,2024-09-23 15:17:07.000,0,1006.09,32.91,80.14,6825,13.36
2,2024-09-23 15:18:07.000,0,1006.08,32.95,80.25,7103.33,14.74
2,2024-09-23 15:19:07.000,0,1006.07,32.91,80.58,7070.83,14.59
2,2024-09-23 15:20:07.000,0,1006.03,32.87,80.82,6995,14.03
2,2024-09-23 15:21:07.000,0,1006.06,32.79,81.65,6871.67,13.76
2,2024-09-23 15:22:07.000,0,1006.05,32.79,81.76,6723.33,12.72
2,2024-09-23 15:23:07.000,0,1006.05,32.78,81.63,6596.67,12.5
2,2024-09-23 15:24:07.000,0,1006.06,32.78,81.75,6431.67,11.87
2,2024-09-23 15:25:07.000,0,1006.08,32.72,82.03,6170,11.08
2,2024-09-23 15:26:07.000,0,1006.01,32.47,83.1,5783.33,9.83
2,2024-09-23 15:27:07.000,0,1006.1,32.36,84.18,5344.17,8.58
2,2024-09-23 15:28:07.000,0,1006.12,32.18,85.4,4914.17,7.07
2,2024-09-23 15:29:07.000,0,1006.14,32.08,86.23,4491.67,5.95
2,2024-09-23 15:30:07.000,0,1006.17,32.01,86.36,4130,5
2,2024-09-23 15:31:07.000,0,1006.17,31.87,86.93,3848.33,4.47
2,2024-09-23 15:32:07.000,0,1006.15,31.89,86.93,3610,3.76
2,2024-09-23 15:33:07.000,0,1006.19,31.9,86.99,3402.5,3.34
2,2024-09-23 15:34:07.000,0,1006.22,31.84,87.37,3166.67,3.01
2,2024-09-23 15:35:07.000,0,1006.23,31.83,87.21,2954.17,2.5
2,2024-09-23 15:36:07.000,0,1006.22,31.75,87.66,2774.17,2.32
2,2024-09-23 15:37:07.000,0,1006.24,31.62,88.89,2652.5,2.09
2,2024-09-23 15:38:07.000,0,1006.29,31.44,92.77,2586.67,1.9
2,2024-09-23 15:39:07.000,0,1006.28,31.34,95.99,2549.17,1.89
2,2024-09-23 15:40:07.000,0,1006.3,31.26,96.13,2563.33,1.88
2,2024-09-23 15:41:07.000,0,1006.35,31.15,98.89,2570.83,1.89
2,2024-09-23 15:42:07.000,0,1006.32,31.01,100,2515,1.84
2,2024-09-23 15:43:07.000,0,1006.33,30.87,100,2415.83,1.79
2,2024-09-23 15:44:07.000,0,1006.36,30.66,100,2315.83,1.59
2,2024-09-23 15:45:07.000,0,1006.38,30.43,100,2283.33,1.56
2,2024-09-23 15:46:07.000,0,1006.36,30.03,100,2277.5,1.6
2,2024-09-23 15:47:07.000,0,1006.37,29.52,100,2412.5,1.72
2,2024-09-23 15:48:07.000,0,1006.37,29.26,100,2414.17,1.74
2,2024-09-23 15:49:07.000,0,1006.39,29.06,100,2433.33,1.76
2,2024-09-23 15:50:07.000,0,1006.37,28.82,100,2420.83,1.76
